id,risk_score,gender,num_public_record_items,age_most_rec_pub_record,collection_items,bankruptcy_prior,bankrupt_other_hh_member,inq_past_12mos,age_of_most_recent_inq,inq_fin_last_6mos,inq_promo,inq_bank_promo,age_of_oldest_trade,tot_accts_open_last_24m,tot_accts_on_file,tot_open_accts_on_file,tot_bal_open_accts,income,num_past_due_accts,amt_past_due_balances,worst_credit_rating,current_accts_total,current_accts_30day,current_accts_60day,current_accts_90day,current_accts_bad_debt,tot_accts_paid_satis,tot_accts_30days_ever,tot_accts_60days_ever,tot_accts_90days_ever,tot_accts_bad_debt_ever,tot_accts_paid_satis_24m,tot_accts_30d_pd_in_24m,tot_accts_60d_pd_in_24m,tot_accts_90d_pd_in_24m,tot_accts_bad_debt_24m,tot_open_accts_bal_gt_0,avg_mos_accts_open,marital_status,LOAN_DEFAULT,GEO_REGION
1,891,F,0,0,0,0,0,4,2,1,0,0,35,12,15,7,5671,11553,1,40,3,12,0,1,0,0,12,0,1,0,0,12,0,1,0,0,5,22,S,0,West
2,845,M,0,0,0,0,0,0,0,0,4,3,31,7,8,8,10999,14438,0,0,1,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,12,S,0,South
3,639,F,3,21,1,0,0,0,17,0,4,2,54,4,7,4,933,1209,1,30,3,4,0,1,0,0,2,0,3,0,0,2,0,3,0,0,4,28,W,0,West
4,853,F,0,0,0,0,0,0,16,0,2,1,35,3,6,3,31,930,0,0,1,6,0,0,0,0,4,1,1,0,0,4,1,1,0,0,1,23,S,0,Midwest
5,850,M,0,0,0,0,0,0,0,0,0,0,64,0,3,1,0,650,0,0,1,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,46,S,0,West
6,954,F,0,0,0,0,0,1,1,0,3,2,175,3,27,6,396,29870,0,0,1,20,0,0,0,0,20,0,0,0,0,12,0,0,0,0,1,71,M,0,West
7,441,F,7,7,2,1,0,3,3,1,3,2,110,2,10,6,24187,36596,4,1126,6,2,2,1,0,2,2,1,2,0,2,0,1,2,0,0,6,59,D,0,Midwest
8,868,F,2,22,1,1,0,0,8,1,3,0,244,3,38,13,24327,27875,6,4582,6,21,1,1,0,12,16,4,2,1,12,10,1,1,0,10,8,107,S,0,West
9,931,M,0,0,0,0,0,1,1,0,7,2,152,6,18,9,40292,58958,0,0,1,17,0,0,0,0,17,0,0,0,0,10,0,0,0,0,8,51,,0,West
10,854,M,2,1,0,1,0,4,1,2,3,0,134,2,25,7,11057,12752,0,0,2,23,1,0,0,0,21,3,0,0,0,10,3,0,0,0,6,54,S,0,East
